phase_idx,variant,rank,offset,cov,cov_ratio
0,immediate,1,8,3352,0.992009
0,immediate,2,3,3352,0.992009
0,immediate,3,2,3352,0.992009
0,immediate,4,6,3351,0.991714
0,immediate,5,5,3351,0.991714
0,immediate,6,4,3350,0.991418
0,immediate,7,9,3348,0.990826
0,immediate,8,10,3347,0.990530
0,delay300,1,12,3345,0.989938
0,delay300,2,15,3342,0.989050
0,delay300,3,16,3341,0.988754
0,delay300,4,18,3338,0.987866
0,delay300,5,20,3337,0.987570
0,delay300,6,24,3332,0.986091
0,delay300,7,25,3331,0.985795
0,delay300,8,27,3329,0.985203
1,immediate,1,3,5447,0.999450
1,immediate,2,4,5446,0.999266
1,immediate,3,5,5445,0.999083
1,immediate,4,6,5444,0.998899
1,immediate,5,8,5442,0.998532
1,immediate,6,9,5441,0.998349
1,immediate,7,10,5440,0.998165
1,immediate,8,2,5439,0.997982
1,delay300,1,45,5405,0.991743
1,delay300,2,48,5402,0.991193
1,delay300,3,50,5400,0.990826
1,delay300,4,54,5396,0.990092
1,delay300,5,60,5390,0.988991
1,delay300,6,64,5386,0.988257
1,delay300,7,72,5378,0.986789
1,delay300,8,75,5375,0.986239
2,immediate,1,3,5447,0.999450
2,immediate,2,4,5446,0.999266
2,immediate,3,5,5445,0.999083
2,immediate,4,6,5444,0.998899
2,immediate,5,2,5444,0.998899
2,immediate,6,8,5442,0.998532
2,immediate,7,9,5441,0.998349
2,immediate,8,10,5440,0.998165
2,delay300,1,45,5405,0.991743
2,delay300,2,48,5402,0.991193
2,delay300,3,50,5400,0.990826
2,delay300,4,54,5396,0.990092
2,delay300,5,60,5390,0.988991
2,delay300,6,64,5386,0.988257
2,delay300,7,72,5378,0.986789
2,delay300,8,75,5375,0.986239
3,immediate,1,3,5447,0.999450
3,immediate,2,4,5446,0.999266
3,immediate,3,5,5445,0.999083
3,immediate,4,2,5445,0.999083
3,immediate,5,6,5444,0.998899
3,immediate,6,8,5442,0.998532
3,immediate,7,9,5441,0.998349
3,immediate,8,10,5440,0.998165
3,delay300,1,45,5405,0.991743
3,delay300,2,48,5402,0.991193
3,delay300,3,50,5400,0.990826
3,delay300,4,54,5396,0.990092
3,delay300,5,60,5390,0.988991
3,delay300,6,64,5386,0.988257
3,delay300,7,72,5378,0.986789
3,delay300,8,75,5375,0.986239
4,immediate,1,3,5447,0.999450
4,immediate,2,4,5446,0.999266
4,immediate,3,5,5445,0.999083
4,immediate,4,6,5444,0.998899
4,immediate,5,8,5442,0.998532
4,immediate,6,2,5442,0.998532
4,immediate,7,9,5441,0.998349
4,immediate,8,10,5440,0.998165
4,delay300,1,45,5405,0.991743
4,delay300,2,48,5402,0.991193
4,delay300,3,50,5400,0.990826
4,delay300,4,54,5396,0.990092
4,delay300,5,60,5390,0.988991
4,delay300,6,64,5386,0.988257
4,delay300,7,72,5378,0.986789
4,delay300,8,75,5375,0.986239
5,immediate,1,3,5447,0.999450
5,immediate,2,4,5446,0.999266
5,immediate,3,5,5445,0.999083
5,immediate,4,6,5444,0.998899
5,immediate,5,2,5443,0.998716
5,immediate,6,8,5442,0.998532
5,immediate,7,9,5441,0.998349
5,immediate,8,10,5440,0.998165
5,delay300,1,45,5405,0.991743
5,delay300,2,48,5402,0.991193
5,delay300,3,50,5400,0.990826
5,delay300,4,54,5396,0.990092
5,delay300,5,60,5390,0.988991
5,delay300,6,64,5386,0.988257
5,delay300,7,72,5378,0.986789
5,delay300,8,75,5375,0.986239
6,immediate,1,3,5447,0.999450
6,immediate,2,4,5446,0.999266
6,immediate,3,2,5446,0.999266
6,immediate,4,5,5445,0.999083
6,immediate,5,6,5444,0.998899
6,immediate,6,8,5442,0.998532
6,immediate,7,9,5441,0.998349
6,immediate,8,10,5440,0.998165
6,delay300,1,45,5405,0.991743
6,delay300,2,48,5402,0.991193
6,delay300,3,50,5400,0.990826
6,delay300,4,54,5396,0.990092
6,delay300,5,60,5390,0.988991
6,delay300,6,64,5386,0.988257
6,delay300,7,72,5378,0.986789
6,delay300,8,75,5375,0.986239
7,immediate,1,3,5447,0.999450
7,immediate,2,4,5446,0.999266
7,immediate,3,5,5445,0.999083
7,immediate,4,6,5444,0.998899
7,immediate,5,2,5443,0.998716
7,immediate,6,8,5442,0.998532
7,immediate,7,9,5441,0.998349
7,immediate,8,10,5440,0.998165
7,delay300,1,45,5405,0.991743
7,delay300,2,48,5402,0.991193
7,delay300,3,50,5400,0.990826
7,delay300,4,54,5396,0.990092
7,delay300,5,60,5390,0.988991
7,delay300,6,64,5386,0.988257
7,delay300,7,72,5378,0.986789
7,delay300,8,75,5375,0.986239
8,immediate,1,3,5447,0.999450
8,immediate,2,4,5446,0.999266
8,immediate,3,5,5445,0.999083
8,immediate,4,2,5445,0.999083
8,immediate,5,6,5444,0.998899
8,immediate,6,8,5442,0.998532
8,immediate,7,9,5441,0.998349
8,immediate,8,10,5440,0.998165
8,delay300,1,45,5405,0.991743
8,delay300,2,48,5402,0.991193
8,delay300,3,50,5400,0.990826
8,delay300,4,54,5396,0.990092
8,delay300,5,60,5390,0.988991
8,delay300,6,64,5386,0.988257
8,delay300,7,72,5378,0.986789
8,delay300,8,75,5375,0.986239
9,immediate,1,3,5447,0.999450
9,immediate,2,4,5446,0.999266
9,immediate,3,5,5445,0.999083
9,immediate,4,6,5444,0.998899
9,immediate,5,8,5442,0.998532
9,immediate,6,9,5441,0.998349
9,immediate,7,10,5440,0.998165
9,immediate,8,2,5440,0.998165
9,delay300,1,45,5405,0.991743
9,delay300,2,48,5402,0.991193
9,delay300,3,50,5400,0.990826
9,delay300,4,54,5396,0.990092
9,delay300,5,60,5390,0.988991
9,delay300,6,64,5386,0.988257
9,delay300,7,72,5378,0.986789
9,delay300,8,75,5375,0.986239
10,immediate,1,5,5445,0.999083
10,immediate,2,4,5445,0.999083
10,immediate,3,3,5445,0.999083
10,immediate,4,6,5444,0.998899
10,immediate,5,8,5442,0.998532
10,immediate,6,9,5441,0.998349
10,immediate,7,10,5440,0.998165
10,immediate,8,2,5439,0.997982
10,delay300,1,45,5405,0.991743
10,delay300,2,48,5402,0.991193
10,delay300,3,50,5400,0.990826
10,delay300,4,54,5396,0.990092
10,delay300,5,60,5390,0.988991
10,delay300,6,64,5386,0.988257
10,delay300,7,72,5378,0.986789
10,delay300,8,75,5375,0.986239
11,immediate,1,3,5447,0.999450
11,immediate,2,4,5446,0.999266
11,immediate,3,2,5446,0.999266
11,immediate,4,5,5445,0.999083
11,immediate,5,6,5444,0.998899
11,immediate,6,8,5442,0.998532
11,immediate,7,9,5441,0.998349
11,immediate,8,10,5440,0.998165
11,delay300,1,45,5405,0.991743
11,delay300,2,48,5402,0.991193
11,delay300,3,50,5400,0.990826
11,delay300,4,54,5396,0.990092
11,delay300,5,60,5390,0.988991
11,delay300,6,64,5386,0.988257
11,delay300,7,72,5378,0.986789
11,delay300,8,75,5375,0.986239
12,immediate,1,3,5447,0.999450
12,immediate,2,4,5446,0.999266
12,immediate,3,5,5445,0.999083
12,immediate,4,2,5445,0.999083
12,immediate,5,6,5444,0.998899
12,immediate,6,8,5442,0.998532
12,immediate,7,9,5441,0.998349
12,immediate,8,10,5440,0.998165
12,delay300,1,45,5405,0.991743
12,delay300,2,48,5402,0.991193
12,delay300,3,50,5400,0.990826
12,delay300,4,54,5396,0.990092
12,delay300,5,60,5390,0.988991
12,delay300,6,64,5386,0.988257
12,delay300,7,72,5378,0.986789
12,delay300,8,75,5375,0.986239
13,immediate,1,3,5447,0.999450
13,immediate,2,2,5447,0.999450
13,immediate,3,4,5446,0.999266
13,immediate,4,5,5445,0.999083
13,immediate,5,6,5444,0.998899
13,immediate,6,8,5442,0.998532
13,immediate,7,9,5441,0.998349
13,immediate,8,10,5440,0.998165
13,delay300,1,45,5405,0.991743
13,delay300,2,48,5402,0.991193
13,delay300,3,50,5400,0.990826
13,delay300,4,54,5396,0.990092
13,delay300,5,60,5390,0.988991
13,delay300,6,64,5386,0.988257
13,delay300,7,72,5378,0.986789
13,delay300,8,75,5375,0.986239
14,immediate,1,3,5447,0.999450
14,immediate,2,4,5446,0.999266
14,immediate,3,5,5445,0.999083
14,immediate,4,6,5444,0.998899
14,immediate,5,2,5444,0.998899
14,immediate,6,8,5442,0.998532
14,immediate,7,9,5441,0.998349
14,immediate,8,10,5440,0.998165
14,delay300,1,45,5405,0.991743
14,delay300,2,48,5402,0.991193
14,delay300,3,50,5400,0.990826
14,delay300,4,54,5396,0.990092
14,delay300,5,60,5390,0.988991
14,delay300,6,64,5386,0.988257
14,delay300,7,72,5378,0.986789
14,delay300,8,75,5375,0.986239
15,immediate,1,3,5447,0.999450
15,immediate,2,4,5446,0.999266
15,immediate,3,2,5446,0.999266
15,immediate,4,5,5445,0.999083
15,immediate,5,6,5444,0.998899
15,immediate,6,8,5442,0.998532
15,immediate,7,9,5441,0.998349
15,immediate,8,10,5440,0.998165
15,delay300,1,45,5405,0.991743
15,delay300,2,48,5402,0.991193
15,delay300,3,50,5400,0.990826
15,delay300,4,54,5396,0.990092
15,delay300,5,60,5390,0.988991
15,delay300,6,64,5386,0.988257
15,delay300,7,72,5378,0.986789
15,delay300,8,75,5375,0.986239
16,immediate,1,3,5447,0.999450
16,immediate,2,2,5447,0.999450
16,immediate,3,4,5446,0.999266
16,immediate,4,5,5445,0.999083
16,immediate,5,6,5444,0.998899
16,immediate,6,8,5442,0.998532
16,immediate,7,9,5441,0.998349
16,immediate,8,10,5440,0.998165
16,delay300,1,45,5405,0.991743
16,delay300,2,48,5402,0.991193
16,delay300,3,50,5400,0.990826
16,delay300,4,54,5396,0.990092
16,delay300,5,60,5390,0.988991
16,delay300,6,64,5386,0.988257
16,delay300,7,72,5378,0.986789
16,delay300,8,75,5375,0.986239
17,immediate,1,3,5447,0.999450
17,immediate,2,4,5446,0.999266
17,immediate,3,2,5446,0.999266
17,immediate,4,5,5445,0.999083
17,immediate,5,6,5444,0.998899
17,immediate,6,8,5442,0.998532
17,immediate,7,9,5441,0.998349
17,immediate,8,10,5440,0.998165
17,delay300,1,45,5405,0.991743
17,delay300,2,48,5402,0.991193
17,delay300,3,50,5400,0.990826
17,delay300,4,54,5396,0.990092
17,delay300,5,60,5390,0.988991
17,delay300,6,64,5386,0.988257
17,delay300,7,72,5378,0.986789
17,delay300,8,75,5375,0.986239
18,immediate,1,3,5447,0.999450
18,immediate,2,4,5446,0.999266
18,immediate,3,5,5445,0.999083
18,immediate,4,6,5444,0.998899
18,immediate,5,8,5442,0.998532
18,immediate,6,9,5441,0.998349
18,immediate,7,10,5440,0.998165
18,immediate,8,12,5438,0.997798
18,delay300,1,45,5405,0.991743
18,delay300,2,48,5402,0.991193
18,delay300,3,50,5400,0.990826
18,delay300,4,54,5396,0.990092
18,delay300,5,60,5390,0.988991
18,delay300,6,64,5386,0.988257
18,delay300,7,72,5378,0.986789
18,delay300,8,75,5375,0.986239
19,immediate,1,3,5447,0.999450
19,immediate,2,4,5446,0.999266
19,immediate,3,5,5445,0.999083
19,immediate,4,2,5445,0.999083
19,immediate,5,6,5444,0.998899
19,immediate,6,8,5442,0.998532
19,immediate,7,9,5441,0.998349
19,immediate,8,10,5440,0.998165
19,delay300,1,45,5405,0.991743
19,delay300,2,48,5402,0.991193
19,delay300,3,50,5400,0.990826
19,delay300,4,54,5396,0.990092
19,delay300,5,60,5390,0.988991
19,delay300,6,64,5386,0.988257
19,delay300,7,72,5378,0.986789
19,delay300,8,75,5375,0.986239
20,immediate,1,3,5447,0.999450
20,immediate,2,4,5446,0.999266
20,immediate,3,2,5446,0.999266
20,immediate,4,5,5445,0.999083
20,immediate,5,6,5444,0.998899
20,immediate,6,8,5442,0.998532
20,immediate,7,9,5441,0.998349
20,immediate,8,10,5440,0.998165
20,delay300,1,45,5405,0.991743
20,delay300,2,48,5402,0.991193
20,delay300,3,50,5400,0.990826
20,delay300,4,54,5396,0.990092
20,delay300,5,60,5390,0.988991
20,delay300,6,64,5386,0.988257
20,delay300,7,72,5378,0.986789
20,delay300,8,75,5375,0.986239
21,immediate,1,3,5447,0.999450
21,immediate,2,4,5446,0.999266
21,immediate,3,5,5445,0.999083
21,immediate,4,2,5445,0.999083
21,immediate,5,6,5444,0.998899
21,immediate,6,8,5442,0.998532
21,immediate,7,9,5441,0.998349
21,immediate,8,10,5440,0.998165
21,delay300,1,45,5405,0.991743
21,delay300,2,48,5402,0.991193
21,delay300,3,50,5400,0.990826
21,delay300,4,54,5396,0.990092
21,delay300,5,60,5390,0.988991
21,delay300,6,64,5386,0.988257
21,delay300,7,72,5378,0.986789
21,delay300,8,75,5375,0.986239
22,immediate,1,3,5447,0.999450
22,immediate,2,4,5446,0.999266
22,immediate,3,2,5446,0.999266
22,immediate,4,5,5445,0.999083
22,immediate,5,6,5444,0.998899
22,immediate,6,8,5442,0.998532
22,immediate,7,9,5441,0.998349
22,immediate,8,10,5440,0.998165
22,delay300,1,45,5405,0.991743
22,delay300,2,48,5402,0.991193
22,delay300,3,50,5400,0.990826
22,delay300,4,54,5396,0.990092
22,delay300,5,60,5390,0.988991
22,delay300,6,64,5386,0.988257
22,delay300,7,72,5378,0.986789
22,delay300,8,75,5375,0.986239
23,immediate,1,2,5448,0.999633
23,immediate,2,3,5447,0.999450
23,immediate,3,4,5446,0.999266
23,immediate,4,5,5445,0.999083
23,immediate,5,6,5444,0.998899
23,immediate,6,8,5442,0.998532
23,immediate,7,9,5441,0.998349
23,immediate,8,10,5440,0.998165
23,delay300,1,45,5405,0.991743
23,delay300,2,48,5402,0.991193
23,delay300,3,50,5400,0.990826
23,delay300,4,54,5396,0.990092
23,delay300,5,60,5390,0.988991
23,delay300,6,64,5386,0.988257
23,delay300,7,72,5378,0.986789
23,delay300,8,75,5375,0.986239
24,immediate,1,3,5447,0.999450
24,immediate,2,4,5446,0.999266
24,immediate,3,5,5445,0.999083
24,immediate,4,6,5444,0.998899
24,immediate,5,8,5442,0.998532
24,immediate,6,9,5441,0.998349
24,immediate,7,2,5441,0.998349
24,immediate,8,10,5440,0.998165
24,delay300,1,45,5405,0.991743
24,delay300,2,48,5402,0.991193
24,delay300,3,50,5400,0.990826
24,delay300,4,54,5396,0.990092
24,delay300,5,60,5390,0.988991
24,delay300,6,64,5386,0.988257
24,delay300,7,72,5378,0.986789
24,delay300,8,75,5375,0.986239
25,immediate,1,3,5447,0.999450
25,immediate,2,4,5446,0.999266
25,immediate,3,5,5445,0.999083
25,immediate,4,6,5444,0.998899
25,immediate,5,2,5443,0.998716
25,immediate,6,8,5442,0.998532
25,immediate,7,9,5441,0.998349
25,immediate,8,10,5440,0.998165
25,delay300,1,45,5405,0.991743
25,delay300,2,48,5402,0.991193
25,delay300,3,50,5400,0.990826
25,delay300,4,54,5396,0.990092
25,delay300,5,60,5390,0.988991
25,delay300,6,64,5386,0.988257
25,delay300,7,72,5378,0.986789
25,delay300,8,75,5375,0.986239
26,immediate,1,3,5447,0.999450
26,immediate,2,2,5447,0.999450
26,immediate,3,4,5446,0.999266
26,immediate,4,5,5445,0.999083
26,immediate,5,6,5444,0.998899
26,immediate,6,8,5442,0.998532
26,immediate,7,9,5441,0.998349
26,immediate,8,10,5440,0.998165
26,delay300,1,45,5405,0.991743
26,delay300,2,48,5402,0.991193
26,delay300,3,50,5400,0.990826
26,delay300,4,54,5396,0.990092
26,delay300,5,60,5390,0.988991
26,delay300,6,64,5386,0.988257
26,delay300,7,72,5378,0.986789
26,delay300,8,75,5375,0.986239
27,immediate,1,3,5447,0.999450
27,immediate,2,4,5446,0.999266
27,immediate,3,5,5445,0.999083
27,immediate,4,2,5445,0.999083
27,immediate,5,6,5444,0.998899
27,immediate,6,8,5442,0.998532
27,immediate,7,9,5441,0.998349
27,immediate,8,10,5440,0.998165
27,delay300,1,45,5405,0.991743
27,delay300,2,48,5402,0.991193
27,delay300,3,50,5400,0.990826
27,delay300,4,54,5396,0.990092
27,delay300,5,60,5390,0.988991
27,delay300,6,64,5386,0.988257
27,delay300,7,72,5378,0.986789
27,delay300,8,75,5375,0.986239
28,immediate,1,3,5447,0.999450
28,immediate,2,4,5446,0.999266
28,immediate,3,5,5445,0.999083
28,immediate,4,2,5445,0.999083
28,immediate,5,6,5444,0.998899
28,immediate,6,8,5442,0.998532
28,immediate,7,9,5441,0.998349
28,immediate,8,10,5440,0.998165
28,delay300,1,45,5405,0.991743
28,delay300,2,48,5402,0.991193
28,delay300,3,50,5400,0.990826
28,delay300,4,54,5396,0.990092
28,delay300,5,60,5390,0.988991
28,delay300,6,64,5386,0.988257
28,delay300,7,72,5378,0.986789
28,delay300,8,75,5375,0.986239
29,immediate,1,3,5447,0.999450
29,immediate,2,2,5447,0.999450
29,immediate,3,4,5446,0.999266
29,immediate,4,5,5445,0.999083
29,immediate,5,6,5444,0.998899
29,immediate,6,8,5442,0.998532
29,immediate,7,9,5441,0.998349
29,immediate,8,10,5440,0.998165
29,delay300,1,45,5405,0.991743
29,delay300,2,48,5402,0.991193
29,delay300,3,50,5400,0.990826
29,delay300,4,54,5396,0.990092
29,delay300,5,60,5390,0.988991
29,delay300,6,64,5386,0.988257
29,delay300,7,72,5378,0.986789
29,delay300,8,75,5375,0.986239
30,immediate,1,3,5447,0.999450
30,immediate,2,4,5446,0.999266
30,immediate,3,5,5445,0.999083
30,immediate,4,6,5444,0.998899
30,immediate,5,2,5444,0.998899
30,immediate,6,8,5442,0.998532
30,immediate,7,9,5441,0.998349
30,immediate,8,10,5440,0.998165
30,delay300,1,45,5405,0.991743
30,delay300,2,48,5402,0.991193
30,delay300,3,50,5400,0.990826
30,delay300,4,54,5396,0.990092
30,delay300,5,60,5390,0.988991
30,delay300,6,64,5386,0.988257
30,delay300,7,72,5378,0.986789
30,delay300,8,75,5375,0.986239
31,immediate,1,3,5447,0.999450
31,immediate,2,4,5446,0.999266
31,immediate,3,5,5445,0.999083
31,immediate,4,6,5444,0.998899
31,immediate,5,8,5442,0.998532
31,immediate,6,9,5441,0.998349
31,immediate,7,2,5441,0.998349
