phase_idx,phase_len,max_off,max_cov,max_cov_ratio,focus_off,focus_cov,focus_cov_ratio,abs_gap,ratio_gap
0,3379,2,3352,0.992009,144,3212,0.950577,140,0.041432
0,3379,2,3352,0.992009,160,3197,0.946138,155,0.045872
0,3379,2,3352,0.992009,162,3195,0.945546,157,0.046463
0,3379,2,3352,0.992009,240,3117,0.922462,235,0.069547
1,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
1,5450,3,5447,0.999450,160,5290,0.970642,157,0.028807
1,5450,3,5447,0.999450,162,5288,0.970275,159,0.029174
1,5450,3,5447,0.999450,240,5210,0.955963,237,0.043486
2,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
2,5450,3,5447,0.999450,160,5290,0.970642,157,0.028807
2,5450,3,5447,0.999450,162,5288,0.970275,159,0.029174
2,5450,3,5447,0.999450,240,5210,0.955963,237,0.043486
3,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
3,5450,3,5447,0.999450,160,5290,0.970642,157,0.028807
3,5450,3,5447,0.999450,162,5288,0.970275,159,0.029174
3,5450,3,5447,0.999450,240,5210,0.955963,237,0.043486
4,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
4,5450,3,5447,0.999450,160,5290,0.970642,157,0.028807
4,5450,3,5447,0.999450,162,5288,0.970275,159,0.029174
4,5450,3,5447,0.999450,240,5210,0.955963,237,0.043486
5,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
5,5450,3,5447,0.999450,160,5290,0.970642,157,0.028807
5,5450,3,5447,0.999450,162,5288,0.970275,159,0.029174
5,5450,3,5447,0.999450,240,5210,0.955963,237,0.043486
6,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
6,5450,3,5447,0.999450,160,5290,0.970642,157,0.028807
6,5450,3,5447,0.999450,162,5288,0.970275,159,0.029174
6,5450,3,5447,0.999450,240,5210,0.955963,237,0.043486
7,5450,3,5447,0.999450,144,5306,0.973578,141,0.025872
