phase_idx,phase_len,best_off,best_cov,best_cov_ratio,focus_off,focus_cov,focus_cov_ratio,abs_gap,ratio_gap
0,3379,12,3345,0.989938,144,3212,0.950577,133,0.039361
0,3379,12,3345,0.989938,160,3197,0.946138,148,0.043800
0,3379,12,3345,0.989938,162,3195,0.945546,150,0.044392
0,3379,12,3345,0.989938,240,3117,0.922462,228,0.067476
1,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
1,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
1,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
1,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
2,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
2,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
2,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
2,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
3,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
3,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
3,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
3,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
4,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
4,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
4,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
4,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
5,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
5,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
5,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
5,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
6,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
6,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
6,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
6,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
7,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
7,5450,45,5405,0.991743,160,5290,0.970642,115,0.021101
7,5450,45,5405,0.991743,162,5288,0.970275,117,0.021468
7,5450,45,5405,0.991743,240,5210,0.955963,195,0.035780
8,5450,45,5405,0.991743,144,5306,0.973578,99,0.018165
