phase_idx,variant,offset,cov,phase_len,cov_ratio,rank
1,baseline,12,5438,5450,0.997798,1
2,baseline,12,5438,5450,0.997798,1
2,baseline,90,5360,5450,0.983486,2
3,baseline,12,5438,5450,0.997798,1
3,baseline,90,5360,5450,0.983486,2
3,baseline,125,5325,5450,0.977064,3
4,baseline,12,5438,5450,0.997798,1
4,baseline,90,5360,5450,0.983486,2
4,baseline,125,5325,5450,0.977064,3
4,baseline,180,5270,5450,0.966972,4
5,baseline,12,5438,5450,0.997798,1
5,baseline,75,5375,5450,0.986239,2
5,baseline,90,5360,5450,0.983486,3
5,baseline,125,5325,5450,0.977064,4
6,baseline,12,5438,5450,0.997798,1
6,baseline,45,5405,5450,0.991743,2
6,baseline,75,5375,5450,0.986239,3
6,baseline,90,5360,5450,0.983486,4
7,baseline,12,5438,5450,0.997798,1
7,baseline,45,5405,5450,0.991743,2
7,baseline,50,5400,5450,0.990826,3
7,baseline,75,5375,5450,0.986239,4
8,baseline,12,5438,5450,0.997798,1
8,baseline,45,5405,5450,0.991743,2
8,baseline,50,5400,5450,0.990826,3
8,baseline,54,5396,5450,0.990092,4
9,baseline,12,5438,5450,0.997798,1
9,baseline,45,5405,5450,0.991743,2
9,baseline,50,5400,5450,0.990826,3
9,baseline,147,5303,5450,0.973028,4
10,baseline,12,5438,5450,0.997798,1
10,baseline,45,5405,5450,0.991743,2
10,baseline,50,5400,5450,0.990826,3
10,baseline,216,5234,5450,0.960367,4
11,baseline,12,5438,5450,0.997798,1
11,baseline,45,5405,5450,0.991743,2
11,baseline,50,5400,5450,0.990826,3
11,baseline,135,5315,5450,0.975229,4
12,baseline,12,5438,5450,0.997798,1
12,baseline,45,5405,5450,0.991743,2
12,baseline,50,5400,5450,0.990826,3
12,baseline,125,5325,5450,0.977064,4
13,baseline,12,5438,5450,0.997798,1
13,baseline,45,5405,5450,0.991743,2
13,baseline,50,5400,5450,0.990826,3
13,baseline,160,5290,5450,0.970642,4
14,baseline,12,5438,5450,0.997798,1
14,baseline,45,5405,5450,0.991743,2
14,baseline,50,5400,5450,0.990826,3
14,baseline,216,5234,5450,0.960367,4
15,baseline,12,5438,5450,0.997798,1
15,baseline,45,5405,5450,0.991743,2
15,baseline,50,5400,5450,0.990826,3
15,baseline,80,5370,5450,0.985321,4
16,baseline,12,5438,5450,0.997798,1
16,baseline,45,5405,5450,0.991743,2
16,baseline,50,5400,5450,0.990826,3
16,baseline,64,5386,5450,0.988257,4
17,baseline,12,5438,5450,0.997798,1
17,baseline,45,5405,5450,0.991743,2
17,baseline,50,5400,5450,0.990826,3
17,baseline,150,5300,5450,0.972477,4
18,baseline,12,5438,5450,0.997798,1
18,baseline,45,5405,5450,0.991743,2
18,baseline,50,5400,5450,0.990826,3
18,baseline,72,5378,5450,0.986789,4
19,baseline,12,5438,5450,0.997798,1
19,baseline,45,5405,5450,0.991743,2
19,baseline,48,5402,5450,0.991193,3
19,baseline,50,5400,5450,0.990826,4
20,baseline,12,5438,5450,0.997798,1
20,baseline,45,5405,5450,0.991743,2
20,baseline,48,5402,5450,0.991193,3
20,baseline,96,5354,5450,0.982385,4
21,baseline,12,5438,5450,0.997798,1
21,baseline,45,5405,5450,0.991743,2
21,baseline,48,5402,5450,0.991193,3
21,baseline,117,5333,5450,0.978532,4
22,baseline,12,5438,5450,0.997798,1
22,baseline,45,5405,5450,0.991743,2
22,baseline,48,5402,5450,0.991193,3
22,baseline,117,5333,5450,0.978532,4
23,baseline,12,5438,5450,0.997798,1
23,baseline,45,5405,5450,0.991743,2
23,baseline,48,5402,5450,0.991193,3
23,baseline,117,5333,5450,0.978532,4
24,baseline,12,5438,5450,0.997798,1
24,baseline,45,5405,5450,0.991743,2
24,baseline,48,5402,5450,0.991193,3
24,baseline,60,5390,5450,0.988991,4
25,baseline,12,5438,5450,0.997798,1
25,baseline,45,5405,5450,0.991743,2
25,baseline,48,5402,5450,0.991193,3
25,baseline,147,5303,5450,0.973028,4
26,baseline,12,5438,5450,0.997798,1
26,baseline,45,5405,5450,0.991743,2
26,baseline,48,5402,5450,0.991193,3
26,baseline,100,5350,5450,0.981651,4
27,baseline,12,5438,5450,0.997798,1
27,baseline,45,5405,5450,0.991743,2
27,baseline,48,5402,5450,0.991193,3
27,baseline,162,5288,5450,0.970275,4
28,baseline,12,5438,5450,0.997798,1
28,baseline,45,5405,5450,0.991743,2
28,baseline,48,5402,5450,0.991193,3
28,baseline,50,5400,5450,0.990826,4
29,baseline,12,5438,5450,0.997798,1
29,baseline,45,5405,5450,0.991743,2
29,baseline,48,5402,5450,0.991193,3
29,baseline,117,5333,5450,0.978532,4
30,baseline,12,5438,5450,0.997798,1
30,baseline,45,5405,5450,0.991743,2
30,baseline,48,5402,5450,0.991193,3
30,baseline,120,5330,5450,0.977982,4
31,baseline,12,5438,5450,0.997798,1
31,baseline,45,5405,5450,0.991743,2
31,baseline,48,5402,5450,0.991193,3
31,baseline,96,5354,5450,0.982385,4
32,baseline,12,5438,5450,0.997798,1
32,baseline,45,5405,5450,0.991743,2
32,baseline,48,5402,5450,0.991193,3
32,baseline,96,5354,5450,0.982385,4
33,baseline,12,5438,5450,0.997798,1
33,baseline,45,5405,5450,0.991743,2
33,baseline,48,5402,5450,0.991193,3
33,baseline,180,5270,5450,0.966972,4
34,baseline,12,5438,5450,0.997798,1
34,baseline,45,5405,5450,0.991743,2
34,baseline,48,5402,5450,0.991193,3
34,baseline,81,5369,5450,0.985138,4
35,baseline,12,5438,5450,0.997798,1
35,baseline,45,5405,5450,0.991743,2
35,baseline,48,5402,5450,0.991193,3
35,baseline,108,5342,5450,0.980183,4
36,baseline,12,5438,5450,0.997798,1
36,baseline,45,5405,5450,0.991743,2
36,baseline,48,5402,5450,0.991193,3
36,baseline,108,5342,5450,0.980183,4
37,baseline,12,5438,5450,0.997798,1
37,baseline,45,5405,5450,0.991743,2
37,baseline,48,5402,5450,0.991193,3
37,baseline,150,5300,5450,0.972477,4
38,baseline,12,5438,5450,0.997798,1
38,baseline,45,5405,5450,0.991743,2
38,baseline,48,5402,5450,0.991193,3
38,baseline,225,5225,5450,0.958716,4
39,baseline,12,5438,5450,0.997798,1
39,baseline,45,5405,5450,0.991743,2
39,baseline,48,5402,5450,0.991193,3
39,baseline,90,5360,5450,0.983486,4
40,baseline,12,5438,5450,0.997798,1
40,baseline,45,5405,5450,0.991743,2
40,baseline,48,5402,5450,0.991193,3
40,baseline,90,5360,5450,0.983486,4
41,baseline,12,5438,5450,0.997798,1
41,baseline,45,5405,5450,0.991743,2
41,baseline,48,5402,5450,0.991193,3
41,baseline,200,5250,5450,0.963303,4
42,baseline,12,5438,5450,0.997798,1
42,baseline,45,5405,5450,0.991743,2
42,baseline,48,5402,5450,0.991193,3
42,baseline,54,5396,5450,0.990092,4
43,baseline,12,5438,5450,0.997798,1
43,baseline,45,5405,5450,0.991743,2
43,baseline,48,5402,5450,0.991193,3
43,baseline,80,5370,5450,0.985321,4
44,baseline,12,5438,5450,0.997798,1
44,baseline,45,5405,5450,0.991743,2
44,baseline,48,5402,5450,0.991193,3
44,baseline,192,5258,5450,0.964771,4
45,baseline,12,5438,5450,0.997798,1
45,baseline,45,5405,5450,0.991743,2
45,baseline,48,5402,5450,0.991193,3
45,baseline,75,5375,5450,0.986239,4
1,delay300,12,1527,5450,0.280183,1
2,delay300,90,5360,5450,0.983486,1
2,delay300,12,1374,5450,0.252110,2
3,delay300,90,5360,5450,0.983486,1
3,delay300,125,5325,5450,0.977064,2
3,delay300,12,1366,5450,0.250642,3
4,delay300,90,5360,5450,0.983486,1
4,delay300,125,5325,5450,0.977064,2
4,delay300,180,5270,5450,0.966972,3
4,delay300,12,1354,5450,0.248440,4
5,delay300,75,5375,5450,0.986239,1
5,delay300,90,5360,5450,0.983486,2
5,delay300,125,5325,5450,0.977064,3
5,delay300,180,5270,5450,0.966972,4
6,delay300,45,5405,5450,0.991743,1
6,delay300,75,5375,5450,0.986239,2
6,delay300,90,5360,5450,0.983486,3
6,delay300,125,5325,5450,0.977064,4
7,delay300,45,5405,5450,0.991743,1
7,delay300,50,5400,5450,0.990826,2
7,delay300,75,5375,5450,0.986239,3
7,delay300,90,5360,5450,0.983486,4
8,delay300,45,5405,5450,0.991743,1
8,delay300,50,5400,5450,0.990826,2
8,delay300,54,5396,5450,0.990092,3
8,delay300,75,5375,5450,0.986239,4
9,delay300,45,5405,5450,0.991743,1
9,delay300,50,5400,5450,0.990826,2
9,delay300,54,5396,5450,0.990092,3
9,delay300,147,5303,5450,0.973028,4
10,delay300,45,5405,5450,0.991743,1
