phase_idx,phase_len,teacher_best,teacher_best_score,teacher_issue_enabled,baseline_pool,baseline_covs,baseline_student_best,baseline_student_cov,baseline_student_ratio,baseline_student_enable,baseline_final_offset,delayed_pool,delayed_covs,delayed_student_best,delayed_student_cov,delayed_student_ratio,delayed_student_enable,delayed_final_offset,winner_changed,final_changed
0,3379,12,31,1,,,,0,0.000000,0,12,,,,0,0.000000,0,12,0,0
1,5450,90,28,1,12,12:5438,12,5438,0.997798,1,12,12,12:1527,12,1527,0.280183,1,12,0,0
2,5450,125,25,1,12 90,12:5438 90:5360,12,5438,0.997798,1,12,12 90,12:1374 90:5360,90,5360,0.983486,1,90,1,1
3,5450,180,26,1,12 90 125,12:5438 90:5360 125:5325,12,5438,0.997798,1,12,12 90 125,12:1366 90:5360 125:5325,90,5360,0.983486,1,90,1,1
4,5450,75,24,1,12 90 125 180,12:5438 90:5360 125:5325 180:5270,12,5438,0.997798,1,12,12 90 125 180,12:1354 90:5360 125:5325 180:5270,90,5360,0.983486,1,90,1,1
5,5450,45,26,1,12 90 125 75,12:5438 90:5360 125:5325 75:5375,12,5438,0.997798,1,12,90 125 180 75,90:5360 125:5325 180:5270 75:5375,75,5375,0.986239,1,75,1,1
6,5450,50,24,1,12 90 75 45,12:5438 90:5360 75:5375 45:5405,12,5438,0.997798,1,12,90 125 75 45,90:5360 125:5325 75:5375 45:5405,45,5405,0.991743,1,45,1,1
7,5450,54,25,1,12 75 45 50,12:5438 75:5375 45:5405 50:5400,12,5438,0.997798,1,12,90 75 45 50,90:5360 75:5375 45:5405 50:5400,45,5405,0.991743,1,45,1,1
8,5450,147,24,1,12 45 50 54,12:5438 45:5405 50:5400 54:5396,12,5438,0.997798,1,12,75 45 50 54,75:5375 45:5405 50:5400 54:5396,45,5405,0.991743,1,45,1,1
9,5450,216,26,1,12 45 50 147,12:5438 45:5405 50:5400 147:5303,12,5438,0.997798,1,12,45 50 54 147,45:5405 50:5400 54:5396 147:5303,45,5405,0.991743,1,45,1,1
10,5450,135,26,1,12 45 50 216,12:5438 45:5405 50:5400 216:5234,12,5438,0.997798,1,12,45 50 54 216,45:5405 50:5400 54:5396 216:5234,45,5405,0.991743,1,45,1,1
11,5450,125,27,1,12 45 50 135,12:5438 45:5405 50:5400 135:5315,12,5438,0.997798,1,12,45 50 54 135,45:5405 50:5400 54:5396 135:5315,45,5405,0.991743,1,45,1,1
12,5450,160,26,1,12 45 50 125,12:5438 45:5405 50:5400 125:5325,12,5438,0.997798,1,12,45 50 54 125,45:5405 50:5400 54:5396 125:5325,45,5405,0.991743,1,45,1,1
13,5450,216,25,1,12 45 50 160,12:5438 45:5405 50:5400 160:5290,12,5438,0.997798,1,12,45 50 54 160,45:5405 50:5400 54:5396 160:5290,45,5405,0.991743,1,45,1,1
14,5450,80,22,1,12 45 50 216,12:5438 45:5405 50:5400 216:5234,12,5438,0.997798,1,12,45 50 54 216,45:5405 50:5400 54:5396 216:5234,45,5405,0.991743,1,45,1,1
15,5450,64,24,1,12 45 50 80,12:5438 45:5405 50:5400 80:5370,12,5438,0.997798,1,12,45 50 54 80,45:5405 50:5400 54:5396 80:5370,45,5405,0.991743,1,45,1,1
16,5450,150,24,1,12 45 50 64,12:5438 45:5405 50:5400 64:5386,12,5438,0.997798,1,12,45 50 54 64,45:5405 50:5400 54:5396 64:5386,45,5405,0.991743,1,45,1,1
17,5450,72,28,1,12 45 50 150,12:5438 45:5405 50:5400 150:5300,12,5438,0.997798,1,12,45 50 54 150,45:5405 50:5400 54:5396 150:5300,45,5405,0.991743,1,45,1,1
18,5450,48,23,1,12 45 50 72,12:5438 45:5405 50:5400 72:5378,12,5438,0.997798,1,12,45 50 54 72,45:5405 50:5400 54:5396 72:5378,45,5405,0.991743,1,45,1,1
19,5450,96,28,1,12 45 50 48,12:5438 45:5405 50:5400 48:5402,12,5438,0.997798,1,12,45 50 54 48,45:5405 50:5400 54:5396 48:5402,45,5405,0.991743,1,45,1,1
20,5450,117,25,1,12 45 48 96,12:5438 45:5405 48:5402 96:5354,12,5438,0.997798,1,12,45 50 48 96,45:5405 50:5400 48:5402 96:5354,45,5405,0.991743,1,45,1,1
21,5450,117,25,1,12 45 48 117,12:5438 45:5405 48:5402 117:5333,12,5438,0.997798,1,12,45 50 48 117,45:5405 50:5400 48:5402 117:5333,45,5405,0.991743,1,45,1,1
22,5450,45,29,1,12 45 48 117,12:5438 45:5405 48:5402 117:5333,12,5438,0.997798,1,12,45 50 48 117,45:5405 50:5400 48:5402 117:5333,45,5405,0.991743,1,45,1,1
23,5450,60,27,1,12 45 48 117,12:5438 45:5405 48:5402 117:5333,12,5438,0.997798,1,12,45 50 48 117,45:5405 50:5400 48:5402 117:5333,45,5405,0.991743,1,45,1,1
24,5450,147,25,1,12 45 48 60,12:5438 45:5405 48:5402 60:5390,12,5438,0.997798,1,12,45 50 48 60,45:5405 50:5400 48:5402 60:5390,45,5405,0.991743,1,45,1,1
25,5450,100,26,1,12 45 48 147,12:5438 45:5405 48:5402 147:5303,12,5438,0.997798,1,12,45 50 48 147,45:5405 50:5400 48:5402 147:5303,45,5405,0.991743,1,45,1,1
26,5450,162,26,1,12 45 48 100,12:5438 45:5405 48:5402 100:5350,12,5438,0.997798,1,12,45 50 48 100,45:5405 50:5400 48:5402 100:5350,45,5405,0.991743,1,45,1,1
27,5450,50,23,1,12 45 48 162,12:5438 45:5405 48:5402 162:5288,12,5438,0.997798,1,12,45 50 48 162,45:5405 50:5400 48:5402 162:5288,45,5405,0.991743,1,45,1,1
28,5450,117,23,1,12 45 48 50,12:5438 45:5405 48:5402 50:5400,12,5438,0.997798,1,12,45 50 48 162,45:5405 50:5400 48:5402 162:5288,45,5405,0.991743,1,45,1,1
29,5450,120,27,1,12 45 48 117,12:5438 45:5405 48:5402 117:5333,12,5438,0.997798,1,12,45 50 48 117,45:5405 50:5400 48:5402 117:5333,45,5405,0.991743,1,45,1,1
30,5450,96,26,1,12 45 48 120,12:5438 45:5405 48:5402 120:5330,12,5438,0.997798,1,12,45 50 48 120,45:5405 50:5400 48:5402 120:5330,45,5405,0.991743,1,45,1,1
31,5450,48,26,1,12 45 48 96,12:5438 45:5405 48:5402 96:5354,12,5438,0.997798,1,12,45 50 48 96,45:5405 50:5400 48:5402 96:5354,45,5405,0.991743,1,45,1,1
32,5450,180,25,1,12 45 48 96,12:5438 45:5405 48:5402 96:5354,12,5438,0.997798,1,12,45 50 48 96,45:5405 50:5400 48:5402 96:5354,45,5405,0.991743,1,45,1,1
33,5450,81,26,1,12 45 48 180,12:5438 45:5405 48:5402 180:5270,12,5438,0.997798,1,12,45 50 48 180,45:5405 50:5400 48:5402 180:5270,45,5405,0.991743,1,45,1,1
34,5450,108,25,1,12 45 48 81,12:5438 45:5405 48:5402 81:5369,12,5438,0.997798,1,12,45 50 48 81,45:5405 50:5400 48:5402 81:5369,45,5405,0.991743,1,45,1,1
35,5450,108,24,1,12 45 48 108,12:5438 45:5405 48:5402 108:5342,12,5438,0.997798,1,12,45 50 48 108,45:5405 50:5400 48:5402 108:5342,45,5405,0.991743,1,45,1,1
36,5450,150,24,1,12 45 48 108,12:5438 45:5405 48:5402 108:5342,12,5438,0.997798,1,12,45 50 48 108,45:5405 50:5400 48:5402 108:5342,45,5405,0.991743,1,45,1,1
37,5450,225,25,1,12 45 48 150,12:5438 45:5405 48:5402 150:5300,12,5438,0.997798,1,12,45 50 48 150,45:5405 50:5400 48:5402 150:5300,45,5405,0.991743,1,45,1,1
38,5450,90,28,1,12 45 48 225,12:5438 45:5405 48:5402 225:5225,12,5438,0.997798,1,12,45 50 48 225,45:5405 50:5400 48:5402 225:5225,45,5405,0.991743,1,45,1,1
39,5450,90,25,1,12 45 48 90,12:5438 45:5405 48:5402 90:5360,12,5438,0.997798,1,12,45 50 48 90,45:5405 50:5400 48:5402 90:5360,45,5405,0.991743,1,45,1,1
40,5450,200,27,1,12 45 48 90,12:5438 45:5405 48:5402 90:5360,12,5438,0.997798,1,12,45 50 48 90,45:5405 50:5400 48:5402 90:5360,45,5405,0.991743,1,45,1,1
41,5450,54,26,1,12 45 48 200,12:5438 45:5405 48:5402 200:5250,12,5438,0.997798,1,12,45 50 48 200,45:5405 50:5400 48:5402 200:5250,45,5405,0.991743,1,45,1,1
42,5450,80,25,1,12 45 48 54,12:5438 45:5405 48:5402 54:5396,12,5438,0.997798,1,12,45 50 48 54,45:5405 50:5400 48:5402 54:5396,45,5405,0.991743,1,45,1,1
43,5450,192,26,1,12 45 48 80,12:5438 45:5405 48:5402 80:5370,12,5438,0.997798,1,12,45 50 48 80,45:5405 50:5400 48:5402 80:5370,45,5405,0.991743,1,45,1,1
44,5450,75,27,1,12 45 48 192,12:5438 45:5405 48:5402 192:5258,12,5438,0.997798,1,12,45 50 48 192,45:5405 50:5400 48:5402 192:5258,45,5405,0.991743,1,45,1,1
45,5450,91,26,1,12 45 48 75,12:5438 45:5405 48:5402 75:5375,12,5438,0.997798,1,12,45 50 48 75,45:5405 50:5400 48:5402 75:5375,45,5405,0.991743,1,45,1,1
