phase_idx,phase_len,start_row_id,end_row_id,start_stamp,end_stamp,teacher_best,teacher_score,oracle_best,oracle_cov,teacher_cov,cov_gap,cov_neg1,cov_pos1
0,1850,1,1850,4290,115587,2,0,1,306,110,196,181,306
1,1850,1851,3700,115596,203387,2,0,1,378,53,325,89,378
2,1850,3701,5550,203391,279876,2,0,1,536,230,306,37,536
3,1850,5551,7400,279977,390949,5,1,1,577,12,565,69,577
4,1850,7401,9250,390953,501721,9,1,1,598,7,591,32,598
5,1850,9251,11100,501725,612153,2,0,1,734,437,297,31,734
6,1850,11101,12950,612157,731284,18,1,1,699,13,686,48,699
7,1850,12951,14800,731349,823161,15,1,1,760,5,755,45,760
8,1850,14801,16650,823162,917400,5,1,1,814,6,808,19,814
9,1850,16651,18500,917648,1004358,18,1,1,810,5,805,22,810
10,1850,18501,20350,1004363,1090119,10,2,1,862,5,857,30,862
11,1850,20351,22200,1090152,1178931,18,2,1,826,2,824,22,826
12,1850,22201,24050,1179207,1277389,20,1,1,935,3,932,23,935
13,1850,24051,25900,1277427,1375957,10,3,1,846,7,839,30,846
14,1850,25901,27750,1375963,1464691,6,1,1,934,6,928,16,934
15,1850,27751,29600,1464715,1562070,12,2,1,900,4,896,21,900
16,1850,29601,31450,1562076,1643483,5,1,1,879,7,872,41,879
17,1850,31451,33300,1643486,1728931,18,1,1,847,7,840,19,847
18,1850,33301,35150,1728971,1821843,10,1,1,867,8,859,38,867
19,1850,35151,37000,1821849,1907099,-18,1,1,839,5,834,23,839
20,1850,37001,38850,1907100,1985868,27,2,1,886,2,884,23,886
21,1850,38851,40700,1985871,2072932,18,2,1,800,3,797,16,800
22,1850,40701,42550,2072936,2165966,10,1,1,517,27,490,167,517
23,1850,42551,44400,2165969,2271172,2,0,-1,435,194,241,435,368
24,1850,44401,46250,2271177,2382519,2,0,1,254,64,190,234,254
25,1850,46251,48100,2382655,2494878,2,0,1,260,65,195,250,260
26,1850,48101,49950,2494886,2607719,-5,1,-1,265,44,221,265,218
27,1850,49951,51800,2607728,2720237,15,1,-1,237,36,201,237,231
28,1850,51801,53650,2720245,2850476,2,0,-1,356,104,252,356,305
29,1850,53651,55500,2850477,2976969,-8,1,-1,383,105,278,383,321
30,1850,55501,57350,2976975,3090779,10,1,1,327,82,245,314,327
31,1850,57351,59200,3090780,3189557,-9,1,1,331,67,264,297,331
32,1850,59201,61050,3189563,3284550,-12,1,-1,309,62,247,309,299
33,1850,61051,62900,3284585,3369390,-4,1,-1,311,97,214,311,298
34,1850,62901,64750,3369401,3457247,-4,2,-1,444,245,199,444,391
35,1850,64751,66600,3457266,3537105,-1,1,1,329,311,18,311,329
36,1850,66601,68450,3537125,3621730,-27,1,1,296,79,217,250,296
