phase_idx,phase_len,start_row_id,end_row_id,start_stamp,end_stamp,teacher_best,teacher_score,oracle_best,oracle_cov,teacher_cov,cov_gap,cov_neg1,cov_pos1
0,5150,1,5150,4290,270710,4,1,1,1725,614,1111,364,1725
1,5150,5151,10300,270717,570264,5,1,1,2332,1057,1275,160,2332
2,5150,10301,15450,570266,862380,10,2,1,2647,63,2584,182,2647
3,5150,15451,20600,862421,1106479,5,1,1,2890,1679,1211,103,2890
4,5150,20601,25750,1106488,1372789,18,2,1,3056,38,3018,103,3056
5,5150,25751,30900,1372794,1619246,27,1,1,3156,16,3140,87,3156
6,5150,30901,36050,1619251,1867638,-50,1,1,2983,41,2942,108,2983
7,5150,36051,41200,1867639,2090487,-240,1,1,2971,27,2944,87,2971
8,5150,41201,46350,2090491,2386646,-1,1,-1,923,923,0,923,913
9,5150,46351,51500,2386808,2699074,40,1,-1,727,212,515,727,724
10,5150,51501,56650,2699075,3048973,-162,1,-1,1205,536,669,1205,1092
11,5150,56651,61800,3048980,3320258,81,1,1,1103,519,584,1092,1103
12,5150,61801,66950,3320304,3552051,5,2,-1,1203,695,508,1203,1148
13,5150,66951,72100,3552067,3836092,250,1,1,837,180,657,793,837
14,5150,72101,77250,3836095,4103697,-24,1,1,887,312,575,868,887
15,5150,77251,82400,4103698,4389368,-15,1,-1,1071,469,602,1071,1032
16,5150,82401,87550,4389394,4661663,144,1,-1,1665,1169,496,1665,1565
17,5150,87551,92700,4661664,4897397,-4,2,-1,1465,1160,305,1465,1455
18,5150,92701,97850,4897402,5134014,60,2,-1,1407,651,756,1407,1180
19,5150,97851,103000,5134038,5376928,125,2,-1,1129,470,659,1129,1109
20,5150,103001,108150,5376939,5578502,160,2,-1,1121,436,685,1121,1007
21,5150,108151,113300,5578504,5843654,2,0,1,980,475,505,959,980
22,5150,113301,118450,5843827,6067433,-64,1,-1,887,272,615,887,867
23,5150,118451,123600,6067638,6306372,100,1,-1,959,304,655,959,948
24,5150,123601,128750,6306386,6498073,6,2,-1,891,386,505,891,868
25,5150,128751,133900,6498074,6677829,-80,2,1,897,268,629,873,897
26,5150,133901,139050,6677865,6861022,18,2,-1,965,233,732,965,852
27,5150,139051,144200,6861023,7102354,-20,1,1,1280,804,476,1243,1280
28,5150,144201,149350,7102361,7317907,-100,2,-1,1402,429,973,1402,1043
29,5150,149351,154500,7318145,7556548,72,1,-1,1512,593,919,1512,1256
30,5150,154501,159650,7556584,7785431,12,1,-1,1688,798,890,1688,1294
31,5150,159651,164800,7785444,8009782,5,1,-1,1430,435,995,1430,1114
32,5150,164801,169950,8009947,8266382,81,1,-1,1603,666,937,1603,1301
33,5150,169951,175100,8266407,8449551,-20,2,-1,1494,574,920,1494,1206
34,5150,175101,180250,8449571,8572560,150,1,1,1385,176,1209,784,1385
35,5150,180251,185400,8572567,8718122,2,0,1,2149,1816,333,194,2149
36,5150,185401,190550,8718138,8896403,-216,1,1,2324,114,2210,193,2324
37,5150,190551,195700,8896407,9045612,-256,1,1,2450,54,2396,159,2450
38,5150,195701,200850,9045642,9212222,216,1,1,2544,79,2465,137,2544
39,5150,200851,206000,9212253,9387396,-200,1,1,2578,90,2488,108,2578
40,5150,206001,211150,9387399,9556114,40,1,1,2688,32,2656,112,2688
41,5150,211151,216300,9556115,9737971,27,1,1,2315,98,2217,258,2315
42,5150,216301,221450,9737986,9927639,9,1,1,2671,198,2473,126,2671
43,5150,221451,226600,9927640,10110760,-16,1,1,2673,88,2585,125,2673
44,5150,226601,231750,10110768,10294213,54,1,1,2710,44,2666,111,2710
45,5150,231751,236900,10294219,10493888,48,1,1,2737,36,2701,108,2737
46,5150,236901,242050,10493891,10709528,-15,1,1,2753,80,2673,133,2753
47,5150,242051,247200,10709577,10906757,-162,1,1,2783,34,2749,75,2783
48,5150,247201,252350,10906760,11116177,32,1,1,2746,40,2706,141,2746
49,5150,252351,257500,11116191,11341324,128,2,1,2790,47,2743,94,2790
50,5150,257501,262650,11341325,11532823,36,1,1,2766,70,2696,128,2766
51,5150,262651,267800,11532824,11721080,-160,1,1,2841,21,2820,87,2841
52,5150,267801,272950,11721095,11907255,5,1,1,2737,1491,1246,122,2737
