pr,title,action,release_tag,rep_commit,rep_ymd,rep_order,commits,files,insertions,deletions,churn,start_date,end_date,topdirs,subsys,arch
64,"gpu-compute, tests: Fix GPU_X86 compilation, add compiler tests",测试,v23.1.0.0,753933d47172d931f577120ce3c930cee71ecfe3,2023-07-11,1052,1,5,17,7,24,2023-07-11T14:35:03-07:00,2023-07-11T14:35:03-07:00,"src, .github, tests",".github, arch, cpu, dev, tests",amdgpu
70,Sanitizer libraries static linking,其他,v23.1.0.0,2a880053bbc1cf794d4488f006defee2818f2dc8,2023-07-12,1053,1,1,6,2,8,2023-07-12T11:24:18-07:00,2023-07-12T11:24:18-07:00,SConstruct,SConstruct,
65,misc: Merge v23.0.0.1 Hotfix into develop,其他,v23.1.0.0,552ae9a1a2fecd693007b7802670d865ca718743,2023-07-13,1054,1,1,12,0,12,2023-07-13T10:26:02-07:00,2023-07-13T10:26:02-07:00,RELEASE-NOTES.md,RELEASE-NOTES.md,
63,stdlib: Deviding range for linear multicore.,其他,v23.1.0.0,b2fcc558d8a467aa517b62023b976c7f7365d82b,2023-07-14,1057,1,3,28,6,34,2023-07-14T07:33:21-07:00,2023-07-14T07:33:21-07:00,src,python,
81,arch-riscv: Fix clearLoadReservation merge,修复/纠错,v23.1.0.0,52d9259396af6d56047f1c72c049f8c43b5d8030,2023-07-14,1058,1,2,6,1,7,2023-07-14T08:48:43-07:00,2023-07-14T08:48:43-07:00,src,arch,"generic, riscv"
67,mem-ruby: Added WIB State to VIPER TCC Cache,其他,v23.1.0.0,f8f5dd98bf937f8052654ebccb9cf80355ee5bf2,2023-07-17,1059,1,1,24,8,32,2023-07-17T10:17:47-07:00,2023-07-17T10:17:47-07:00,src,mem,
90,Add feature to output citations automatically based on configuration,新增/支持,v23.1.0.0,442923c414d5d3f3d94d462ed0f9baae83db177f,2023-07-17,1060,1,10,365,0,365,2023-07-17T10:41:51-07:00,2023-07-17T10:41:51-07:00,src,"mem, python, gpu-compute",
92,configs: fix GPU's default number of HW barrier/CU,修复/纠错,v23.1.0.0,efa1d87addd9caff066a12cc0472164f1c5dd7f5,2023-07-17,1062,1,1,1,1,2,2023-07-17T10:42:40-07:00,2023-07-17T10:42:40-07:00,src,gpu-compute,
68,scons: Use pkgconfig to get correct Protobuf dependency,修复/纠错,v23.1.0.0,162f2e2dba069ad3df7d488136f07536d54b7795,2023-07-17,1063,1,1,4,10,14,2023-07-17T15:29:05-07:00,2023-07-17T15:29:05-07:00,src,src,
76,base: Find lsb set generalization and optimization,其他,v23.1.0.0,6fb72d84e171de3cd575b442f392ebdf4c4e08fc,2023-07-17,1065,1,2,91,26,117,2023-07-17T15:32:04-07:00,2023-07-17T15:32:04-07:00,src,base,
