checkpoint,variant,instructions,cycles,ipc,l2_demand_misses,l3_demand_misses,l2_cpu_data_misses,l2_cpu_data_mshr_misses,l2_prefetch_requestor_demand_misses,wall_seconds,memstall_any_load,memstall_l1miss,memstall_l2miss,memstall_l3miss,memory_numReads,memory_numWrites,lookups,eligibleAccesses,excludedAccesses,noPcAccesses,eligibleMisses,samplerAccesses,samplerHits,samplerEvictions,liveTraining,deadTraining,samplerDeadHits,samplerDeadEvictions,predictionQueries,deadPredictions,deadHits,fills,invalidVictims,deadVictims,nonLruDeadVictims,lruVictims,bypasses,l2_mpki,speedup,l2_miss_change_pct
mcf/12886,lru,20000006.0,27435455.0,0.7289839370260125,1152494.0,1219308.0,837644.0,687537.0,213520.0,2047.4587431261316,13563567.0,13465363.0,9165837.0,8083579.0,2629146.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.62468271259519,1.0,0.0
mcf/12886,sdbp,20000000.0,27500877.0,0.7272495346239322,1153119.0,1232992.0,838831.0,686919.0,214109.0,1857.310039442964,13614415.0,13522978.0,9184400.0,8107879.0,2655237.0,98.0,16852848.0,2725045.0,9916781.0,4211022.0,838765.0,86651.0,50875.0,35776.0,50875.0,35776.0,3.0,30705.0,2589253.0,857378.0,0.0,2256557.0,19.0,29970.0,29970.0,2226568.0,0.0,57.65595,0.9976207947610533,0.05423021725059485
mcf/12886,bypass,20000006.0,27242371.0,0.7341507095692955,1123958.0,1354622.0,817097.0,668909.0,221276.0,2150.38408689294,13419874.0,13309360.0,8965309.0,7874300.0,2994817.0,74.0,16723013.0,2773567.0,9763606.0,4185840.0,817031.0,88158.0,51457.0,36701.0,51457.0,36701.0,4.0,31476.0,2956902.0,879513.0,0.0,1908049.0,23.0,16086.0,16086.0,1891940.0,366280.0,56.19788314063506,1.007087635654033,-2.476021567140485
libquantum/27811,lru,19999990.0,3449213.0,5.79842126305334,37596.0,2331.0,1895.0,1198.0,34521.0,700.5824411176145,10964.0,10639.0,7463.0,0.0,525574.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87980093990047,1.0,0.0
libquantum/27811,sdbp,20000003.0,3448001.0,5.800463224923659,4989.0,2209.0,36.0,26.0,3767.0,720.1347871916369,3060.0,3051.0,239.0,1.0,525617.0,41.0,1201689.0,36175.0,1164324.0,1190.0,32.0,1213.0,40.0,946.0,40.0,946.0,10.0,934.0,36168.0,33877.0,0.0,600942.0,0.0,42.0,42.0,600900.0,0.0,0.24944996258250562,1.0003521582475094,-86.72997127353975
libquantum/27811,bypass,20000003.0,3448001.0,5.800463224923659,4989.0,2209.0,36.0,26.0,3767.0,724.8145287195221,3060.0,3051.0,239.0,1.0,525617.0,41.0,1201689.0,36175.0,1164324.0,1190.0,32.0,1213.0,40.0,946.0,40.0,946.0,10.0,934.0,36193.0,33877.0,0.0,600942.0,0.0,42.0,42.0,600900.0,0.0,0.24944996258250562,1.0003521582475094,-86.72997127353975
lbm/6382,lru,20000000.0,8028666.0,2.491073859592615,649395.0,231157.0,645827.0,645821.0,1684.0,1000.6314135836437,81974.0,34155.0,330.0,271.0,1075285.0,295143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.46975,1.0,0.0
lbm/6382,sdbp,19999998.0,8017335.0,2.4945942760281317,649168.0,233288.0,645830.0,645826.0,1482.0,1431.6913588447496,83631.0,34508.0,322.0,309.0,1082472.0,287994.0,2801953.0,177184.0,1440942.0,1183827.0,37.0,5556.0,0.0,5556.0,0.0,5556.0,0.0,5529.0,177181.0,176089.0,0.0,879849.0,0.0,9285.0,9285.0,870564.0,0.0,32.45840324584032,1.0014132123870838,-0.034955612531661906
lbm/6382,bypass,19999992.0,8014836.0,2.495371333861354,649237.0,233210.0,645811.0,645810.0,1534.0,1484.930112902075,83935.0,35008.0,320.0,285.0,1082458.0,287838.0,2802230.0,177604.0,1440810.0,1183816.0,22.0,5550.0,0.0,5550.0,0.0,5550.0,0.0,5520.0,177626.0,176606.0,0.0,879825.0,0.0,9254.0,9254.0,870571.0,0.0,32.461862984745196,1.0017251492773651,-0.024330338237898985
hmmer_nph3/7894,lru,19999996.0,2854511.0,7.006452593806785,642.0,523.0,458.0,455.0,155.0,651.6541915126145,5645.0,4038.0,224.0,7.0,6282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032100006420001284,1.0,0.0
hmmer_nph3/7894,sdbp,19999996.0,2854511.0,7.006452593806785,642.0,523.0,458.0,455.0,155.0,664.9833375615999,5645.0,4038.0,224.0,7.0,6282.0,0,168329.0,12639.0,152624.0,3066.0,94.0,309.0,291.0,0.0,291.0,0.0,0.0,0.0,12637.0,0.0,0.0,47906.0,40276.0,0.0,0.0,7630.0,0.0,0.032100006420001284,1.0,0.0
hmmer_nph3/7894,bypass,19999996.0,2854511.0,7.006452593806785,642.0,523.0,458.0,455.0,155.0,551.0779376355931,5645.0,4038.0,224.0,7.0,6282.0,0,168329.0,12639.0,152624.0,3066.0,94.0,309.0,291.0,0.0,291.0,0.0,0.0,0.0,12725.0,0.0,0.0,47906.0,40276.0,0.0,0.0,7630.0,0.0,0.032100006420001284,1.0,0.0
omnetpp/18492,lru,19999998.0,13154862.0,1.5203502704931455,470467.0,338711.0,193655.0,184414.0,192869.0,1491.2271520895883,5022597.0,4068144.0,789128.0,283503.0,879591.0,44600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.523352352335234,1.0,0.0
omnetpp/18492,sdbp,19999993.0,13241895.0,1.5103573166831485,468603.0,345495.0,193125.0,183907.0,193012.0,1476.9645089879632,5121611.0,4145721.0,783173.0,286350.0,896290.0,42351.0,2926377.0,467147.0,1990095.0,469135.0,141595.0,14340.0,7321.0,7019.0,7321.0,7019.0,105.0,5035.0,460566.0,165425.0,0.0,1047280.0,2000.0,30386.0,30386.0,1014894.0,0.0,23.430158200555372,0.9934272029255761,-0.39620207155868226
omnetpp/18492,bypass,20000012.0,13385436.0,1.4941621625175303,470042.0,358916.0,193277.0,184049.0,195018.0,1670.7682771086693,5251580.0,4231904.0,811767.0,286679.0,931170.0,39721.0,2895580.0,468269.0,1961721.0,465590.0,141805.0,14352.0,7334.0,7018.0,7334.0,7018.0,100.0,5017.0,540445.0,162912.0,0.0,1003145.0,1987.0,19529.0,19529.0,981629.0,55458.0,23.50208589874846,0.9827749509544792,-0.09033577275345817
astar_biglakes/5863,lru,19999999.0,4169960.0,4.796208836535603,15233.0,15434.0,5234.0,5169.0,9521.0,742.1672092424706,118247.0,63016.0,9057.0,243.0,59240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7616500380825019,1.0,0.0
astar_biglakes/5863,sdbp,19999999.0,4173004.0,4.79271023943423,15148.0,16209.0,5429.0,5358.0,9227.0,666.1978880343959,116905.0,60164.0,8767.0,282.0,59726.0,0,313938.0,46578.0,256960.0,10400.0,4993.0,1462.0,1054.0,237.0,1054.0,237.0,4.0,17.0,46525.0,1733.0,0.0,69059.0,1773.0,199.0,199.0,67087.0,0.0,0.7574000378700019,0.9992705494650855,-0.5579990809426949
astar_biglakes/5863,bypass,19999999.0,4188121.0,4.775410977858567,15144.0,16183.0,5487.0,5424.0,9156.0,1146.8531176634133,128355.0,67112.0,8576.0,232.0,59709.0,0,312820.0,46597.0,256054.0,10169.0,5051.0,1459.0,1044.0,245.0,1044.0,245.0,5.0,22.0,51384.0,2257.0,0.0,68896.0,1729.0,263.0,263.0,66904.0,153.0,0.7572000378600019,0.9956636878447399,-0.5842578612223481
